1,Star Wars: Episode V - The Empire Strikes Back,Twentieth Century Fox,"Action, Adventure, Fantasty",Irvin Kershner,"Leigh Brackett, Lawrence Kasdan, George Lucas","Mark Hamill, Harrison Ford, Carrie Fisher",1980,124,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",PG,8.7
2,The Matrix,Warner Bros. Pictures,"Action, Sci-Fi","Lana Wachowski, Lilly Wachowski","Lana Wachowski, Lilly Wachowski","Keanu Reaves, Laurence Fishburne, Carrie-Anne Moss",1999,136,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",R,8.7
3,Star Wars: Episode IV - A New Hope,Twentieth Century Fox,"Action, Adventure, Fantasty",George Lucas,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher",1977,121,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",PG,8.6
4,Back to the Future,Universal Pictures,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Robet Zemeckis, Bob Gale","Michael J. Fox, Christopher Lloyd, Lea Thompson",1985,116,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",PG,8.5
5,Alien,Twentieth Century Fox,"Horror, Sci-Fi",Ridley Scott,"Dan O'Bannon, Ronald Shusett","Sigourney Weaver, Tom Skerritt, John Hurt",1979,117,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,R,8.5
6,Raiders of the Lost Ark,Paramount Pictures,"Action, Adventure",Steven Spielberg,"Lawrence Kasdan, George Lucas, Philip Kaufman","Harrison Ford, Karen Allen, Paul Freeman",1981,115,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",PG,8.4
7,Blade Runner,Warner Bros. Pictures,"Action, Drama, Sci-Fi",Ridley Scott,"Hampton Fancher, David Webb Peoples, Philip K. Dick","Harrison Ford, Rutger Hauer, Sean Young",1982,117,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,R,8.1
8,The Terminator,Orion Pictures,"Action, Sci-Fi",James Cameron,"James Cameron, Gale Anne Hurd, William Wisher","Arnold Schwarzenegger, Linda Hamilton, Michael Biegn",1984,107,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",R,8.1
9,The Princess Bride,Twentieth Century Fox,"Adventure, Comedy, Family",Rob Reiner,William Goldman,"Cary Elwes, Mandy Patinkin, Robin Wright",1987,98,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",PG,8.0
10,Star Trek II: The Wrath of Khan,Paramount Pictures,"Action,Adventure, Sci-Fi",Nicholas Meyer,"Gene Roddenberry, Jack B. Sowards, Harve Bennett","William Shatner, Leonard Nimoy, DeForest Kelley",1982,113,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",PG,7.7
11,The Godfather,Paramount Pictures,"Crime, Drama",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola","Marlon Brando, Al Pacino, James Caan, Diane Keaton",1972,175,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",R,9.2
12,Scarface,Universal Pictures,"Crime, Drama",Brian De Palma,"Oliver Stone, Howard Hawks, Ben Hecht","Al Pacino, Michelle Pfeiffer, Steven Bauer",1983,170,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",R,8.3
13,Schindler's List,Universal Pictures,"Biography, Drama, History",Steven Spielberg,"Thomas Keneally, Steven Zaillian","Liam Neeson, Ralph Fiennes, Ben Kingsley",1993,195,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",R,9.0
14,Fight Club,Twentieth Century Fox,Drama,David Fincher,"Chuck Palahniuk, Jim Uhls","Brad Pitt, Edward Norton, Meat Loaf",1999,139,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,R,8.8
15,Ocean's Eleven,Warner Bros. Pictures,"Crime, Thriller",Steven Soderbergh,"George Clayton Johnson, Jack Golden Russell, Harry Brown","George Clooney, Brad Pitt, Julia Roberts, Matt Damon",2001,116,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,PG,7.7
16,The Lord of the Rings: The Return of the King,New Line Cinema,"Action, Adventure, Drama",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens","Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",2003,201,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,PG,9.0
17,The Social Network,Columbia Pictures,"Biography, Drama",David Fincher,"Aaron Sorkin, Ben Mezrich","Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Rooney Mara",2010,120,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.",PG,7.8
18,Shawshank Redemption,Warner Bros. Pictures,Drama,Frank Darabont,"Stephen King, Frank Darabont","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",1994,142," Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",R,9.3
19,Rocky,MGM,"Drama, Sport",John G. Avildsen,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers",1976,120, A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,PG,8.1
20,Inglourious Basterds,Universal Pictures,"Adventure, Drama, War",Quentin Tarantino,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent",2009,153," In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",R,8.3
